hidden_size,learning_rate,epochs_run,best_val_loss,val_accuracy,val_macro_f1
64,0.0008,11,1.3001954555511475,0.418526031102096,0.48570983889547614
96,0.0005,15,1.3074597120285034,0.421455938697318,0.4853754794900968
128,0.0005,12,1.301194429397583,0.41311697092630156,0.4845590405510018
64,0.001,19,1.2995864152908325,0.415596123506874,0.4845033374179899
128,0.0008,11,1.3068881034851074,0.4140184809556006,0.4792071477822321
96,0.0008,19,1.3129998445510864,0.4135677259409511,0.4787810350783568
64,0.0005,11,1.3015094995498657,0.4106378183457291,0.4769284659664592
128,0.001,12,1.301748275756836,0.4054541356772594,0.476168672471442
96,0.001,12,1.3071353435516357,0.4054541356772594,0.47477139521744993
